date,relevant_issuer,X7,X8,X9,X10
2023-01-31,BBNI,0.19465141,0.12093008,4,2
2023-01-31,BBRI,0.27780765,0.18979304,12,8
2023-01-31,BBTN,0.22610469,0.11438433,1,1
2023-01-31,BMRI,0.38730305,0.19030951,23,10
2023-01-31,BRIS,0.458819,0.11868397,11,2
2023-01-31,GOTO,0.15966107,0.29032135,12,20
2023-02-01,ARTO,0.2647425,0.1879347,4,2
2023-02-01,BBCA,0.23517689,0.17998417,21,13
2023-02-01,BBNI,0.21524552,0.20519854,5,4
2023-02-01,BBRI,0.19741724,0.19653596,13,11
2023-02-01,BBTN,0.0008815269,0.14509737,0,1
2023-02-01,BMRI,0.32507035,0.12618746,25,7
2023-02-01,BRIS,0.2735533,0.12577958,10,4
2023-02-01,GOTO,0.23890844,0.26932508,19,20
2023-02-02,ARTO,0.2736063,0.19827276,13,8
2023-02-02,BBCA,0.18525417,0.19106808,8,8
2023-02-02,BBNI,0.3354356,0.06346301,3,1
2023-02-02,BBRI,0.1989565,0.15464541,7,6
2023-02-02,BBTN,0.17295074,0.16063547,1,1
2023-02-02,BMRI,0.1320498,0.2773923,4,7
2023-02-02,BRIS,0.39066285,0.23090726,9,7
2023-02-02,GOTO,0.26862773,0.22764777,29,25
2023-02-03,ARTO,0.28933263,0.15974247,9,4
2023-02-03,BBCA,0.2341074,0.16931789,16,11
2023-02-03,BBNI,0.35301927,0.08146196,5,1
2023-02-03,BBRI,0.30407092,0.17421986,24,13
2023-02-03,BBTN,0.25347263,0.22393322,3,2
2023-02-03,BMRI,0.3359379,0.08407914,11,2
2023-02-03,BRIS,0.2371995,0.16763976,4,3
2023-02-03,GOTO,0.22884198,0.17161487,22,14
2023-02-04,ARTO,0.32425848,0.3443158,2,3
2023-02-04,BBCA,0.22992675,0.167935,6,4
2023-02-04,BBNI,0.225403,0.3747143,2,3
2023-02-04,BBRI,0.24269307,0.16392086,5,3
2023-02-04,BBTN,0.49127433,0.0012592233,1,0
2023-02-04,BMRI,0.19854303,0.1725142,5,3
2023-02-04,BRIS,0.33810103,0.3876128,1,1
2023-02-04,GOTO,0.17845604,0.25606135,6,10
2023-02-05,ARTO,0.10234906,0.24252206,0,2
2023-02-05,BBCA,0.34385753,0.22787587,7,5
2023-02-05,BBNI,0.34053206,0.042874034,1,0
2023-02-05,BBRI,0.35500678,0.16922149,8,4
2023-02-05,BBTN,0.6966877,0.17180365,6,1
2023-02-05,BMRI,0.28155345,0.11290059,5,2
2023-02-05,BRIS,0.014672161,0.49829,0,2
2023-02-05,GOTO,0.07220898,0.26736477,1,8
2023-02-06,ARTO,0.22143236,0.15303802,2,1
2023-02-06,BBCA,0.21115264,0.18533146,11,9
2023-02-06,BBNI,0.20383096,0.16213028,5,3
2023-02-06,BBRI,0.17324714,0.18449038,11,10
2023-02-06,BBTN,0.29780555,0.2874248,5,4
2023-02-06,BMRI,0.22255853,0.14154534,13,8
2023-02-06,BRIS,0.10340607,0.19589576,2,3
2023-02-06,GOTO,0.20204672,0.24746114,17,22
2023-02-07,ARTO,0.16564593,0.26907042,2,4
2023-02-07,BBCA,0.19100833,0.14332868,9,7
2023-02-07,BBNI,0.12623543,0.20096725,3,5
2023-02-07,BBRI,0.15776941,0.24026635,6,11
2023-02-07,BBTN,0.11240355,0.22400445,1,2
2023-02-07,BMRI,0.18839996,0.13066082,13,10
2023-02-07,BRIS,0.21008658,0.19779883,6,4
2023-02-07,GOTO,0.17321004,0.242774,14,21
2023-02-08,ARTO,0.41632786,0.012761998,3,0
2023-02-08,BBCA,0.23928222,0.18306378,10,7
2023-02-08,BBNI,0.22829178,0.269464,4,5
2023-02-08,BBRI,0.36874235,0.14660677,32,12
2023-02-08,BBTN,0.09350857,0.17736872,1,2
2023-02-08,BMRI,0.24543832,0.21287484,12,9
2023-02-08,BRIS,0.19742492,0.103372,3,2
2023-02-08,GOTO,0.17656286,0.23388536,18,22
2023-02-09,ARTO,0.16699699,0.20968494,3,3
2023-02-09,BBCA,0.17408831,0.22231475,11,16
2023-02-09,BBNI,0.24080811,0.10134164,6,3
2023-02-09,BBRI,0.20024513,0.24039167,13,19
2023-02-09,BBTN,0.18481782,0.19765715,3,4
2023-02-09,BMRI,0.25060925,0.12558064,11,6
2023-02-09,BRIS,0.13424169,0.39461586,1,6
2023-02-09,GOTO,0.19963324,0.2564862,21,26
2023-02-10,ARTO,0.10087829,0.2979223,4,13
2023-02-10,BBCA,0.1279963,0.29113215,6,17
2023-02-10,BBNI,0.049821354,0.41092175,0,4
2023-02-10,BBRI,0.19500645,0.25309563,9,11
2023-02-10,BBTN,0.09818945,0.0029760443,0,0
2023-02-10,BMRI,0.121879585,0.24789155,2,6
2023-02-10,BRIS,0.16122979,0.27173978,2,3
2023-02-10,GOTO,0.13920574,0.32017437,13,36
2023-02-11,ARTO,0.19893119,0.2150832,1,1
2023-02-11,BBCA,0.24634516,0.31668377,5,8
2023-02-11,BBNI,0.25359857,0.3624519,2,3
2023-02-11,BBRI,0.30486336,0.18498121,7,5
2023-02-11,BBTN,0.13619708,0.06879656,0,0
2023-02-11,BMRI,0.19193214,0.2177053,3,4
2023-02-11,BRIS,0.42418694,0.05434581,4,1
2023-02-11,GOTO,0.24620625,0.31939873,13,19
2023-02-12,ARTO,0.14663057,0.38947645,1,3
2023-02-12,BBCA,0.17852515,0.24461,4,6
2023-02-12,BBNI,0.2365516,0.16242799,1,1
2023-02-12,BBRI,0.16111374,0.12111767,4,2
2023-02-12,BBTN,0.45638427,0.0084480755,3,0
2023-02-12,BMRI,0.17083566,0.17513734,2,2
2023-02-12,BRIS,0.15245672,0.34090585,2,6
2023-02-12,GOTO,0.2251283,0.21300061,10,9
2023-02-13,ARTO,0.17521268,0.18695778,8,9
2023-02-13,BBCA,0.2136349,0.1597052,6,4
2023-02-13,BBNI,0.35466912,0.17176302,4,2
2023-02-13,BBRI,0.19113217,0.18435612,7,7
2023-02-13,BBTN,0.29881993,0.00881555,2,0
2023-02-13,BMRI,0.24675979,0.23099361,6,7
2023-02-13,BRIS,0.1271961,0.16654798,3,3
2023-02-13,GOTO,0.21994461,0.22107056,24,22
2023-02-14,ARTO,0.17544256,0.26772153,7,11
2023-02-14,BBCA,0.3134691,0.14794454,18,8
2023-02-14,BBNI,0.14285824,0.034589514,2,0
2023-02-14,BBRI,0.26063758,0.17605683,13,10
2023-02-14,BBTN,0.14409736,0.15376298,1,1
2023-02-14,BMRI,0.27401555,0.11102379,9,3
2023-02-14,BRIS,0.13793331,0.23709948,6,10
2023-02-14,GOTO,0.26461968,0.20825748,25,21
2023-02-15,ARTO,0.19011769,0.23885193,3,5
2023-02-15,BBCA,0.25297633,0.19698566,12,11
2023-02-15,BBNI,0.26559675,0.013343808,5,0
2023-02-15,BBRI,0.25883454,0.16156757,12,8
2023-02-15,BBTN,0.23933879,0.25101638,3,4
2023-02-15,BMRI,0.30508974,0.08513118,11,3
2023-02-15,BRIS,0.21824616,0.27762458,22,29
2023-02-15,GOTO,0.19796191,0.24325138,16,18
2023-02-16,ARTO,0.2937061,0.27071002,14,13
2023-02-16,BBCA,0.16561925,0.15288192,8,6
2023-02-16,BBNI,0.18395817,0.09396424,3,1
2023-02-16,BBRI,0.23908699,0.21060695,8,5
2023-02-16,BBTN,0.34967726,0.17474174,6,2
2023-02-16,BMRI,0.2848514,0.14284286,7,2
2023-02-16,BRIS,0.15650663,0.3092912,15,30
2023-02-16,GOTO,0.23881795,0.2405515,22,20
2023-02-17,ARTO,0.17147855,0.2891077,4,6
2023-02-17,BBCA,0.28191698,0.17114694,17,9
2023-02-17,BBNI,0.31683084,0.1291139,7,2
2023-02-17,BBRI,0.23213127,0.13760959,13,7
2023-02-17,BBTN,0.22739802,0.23171005,8,9
2023-02-17,BMRI,0.28131625,0.044794593,9,1
2023-02-17,BRIS,0.1936706,0.23173164,18,23
2023-02-17,GOTO,0.297213,0.22914505,33,22
2023-02-18,ARTO,0.1453282,0.12007672,1,0
2023-02-18,BBCA,0.1310252,0.18022053,2,4
2023-02-18,BBNI,0.054385215,0.15331845,0,1
2023-02-18,BBRI,0.19523072,0.197396,3,4
2023-02-18,BBTN,0.21243219,0.343566,4,4
2023-02-18,BMRI,0.4625149,0.102101356,6,1
2023-02-18,BRIS,0.28628793,0.11572628,9,2
2023-02-18,GOTO,0.2536749,0.2721172,10,9
2023-02-19,ARTO,0.21058095,0.25495785,1,1
2023-02-19,BBCA,0.13909636,0.23659861,4,7
2023-02-19,BBNI,0.0787758,0.272823,1,2
2023-02-19,BBRI,0.094432205,0.31077498,2,6
2023-02-19,BBTN,0.010356778,0.27533272,0,2
2023-02-19,BMRI,0.40284646,0.1567115,5,2
2023-02-19,BRIS,0.16008252,0.15042451,2,2
2023-02-19,GOTO,0.27845967,0.17912962,10,6
2023-02-20,ARTO,0.33753276,0.1425194,2,1
2023-02-20,BBCA,0.24015844,0.18211348,13,8
2023-02-20,BBNI,0.059816025,0.19952364,1,2
2023-02-20,BBRI,0.20011206,0.28665495,9,14
2023-02-20,BBTN,0.13388929,0.27372786,2,5
2023-02-20,BMRI,0.13316558,0.14689454,3,5
2023-02-20,BRIS,0.1943347,0.18667746,13,12
2023-02-20,GOTO,0.17763709,0.26968107,19,27
2023-02-21,ARTO,0.19406496,0.23181364,3,3
